ap060_ashtpahud_1970_71.mp3 - ['061', '04 Bodh Pahud', '26-27', 'Hin', None, None]
ap163_ashtpahud_1970_71.mp3 - ['138', '05 Bhav Pahud', '165', 'Guj', None, None]
ap164_ashtpahud_1970_71.mp3 - ['063', '04 Bodh Pahud', '28-32', 'Guj', None, None]
ap165_ashtpahud_1970_71.mp3 - ['064', '04 Bodh Pahud', '32', 'Guj', None, None]
ap166_ashtpahud_1970_71.mp3 - ['065', '04 Bodh Pahud', '32-41', 'Guj', None, None]
ap167_ashtpahud_1970_71.mp3 - ['066', '04 Bodh Pahud', '41', 'Guj', None, None]
ap168_ashtpahud_1970_71.mp3 - ['067', '04 Bodh Pahud', '41-44', 'Guj', None, None]
ap169_ashtpahud_1970_71.mp3 - ['068', '04 Bodh Pahud', '42-48', 'Guj', None, None]
ap170_ashtpahud_1970_71.mp3 - ['069', '04 Bodh Pahud', '48-51', 'Guj', None, None]
ap171_ashtpahud_1970_71.mp3 - ['070', '04 Bodh Pahud', '51-54', 'Guj', None, None]
ap172_ashtpahud_1970_71.mp3 - ['071', '04 Bodh Pahud', '54-56', 'Guj', None, None]
ap173_ashtpahud_1970_71.mp3 - ['072', '04 Bodh Pahud', '56-50', 'Guj', None, None]
ap174_ashtpahud_1970_71.mp3 - ['073', '04 Bodh Pahud', '60', 'Guj', None, None]
ap175_ashtpahud_1970_71.mp3 - ['074', '04 Bodh Pahud', '61-62', 'Guj', '07 Ling Pahud', '1-2']
ap104_ashtpahud_1970_71.mp3 - ['075', '05 Bhav Pahud', '1-2', 'Hin', None, None]
ap105_ashtpahud_1970_71.mp3 - ['076', '05 Bhav Pahud', '2', 'Hin', None, None]
ap106_ashtpahud_1970_71.mp3 - ['077', '05 Bhav Pahud', '2-4', 'Hin', None, None]
ap107a_ashtpahud_1970_71.mp3 - ['078', '05 Bhav Pahud', '3-5', 'Guj', None, None]
ap107b_ashtpahud_1970_71.mp3 - ['079', '05 Bhav Pahud', '6-8', 'Guj', None, None]
ap108_ashtpahud_1970_71.mp3 - ['080', '05 Bhav Pahud', '9-12', 'Guj', None, None]
ap109_ashtpahud_1970_71.mp3 - ['081', '05 Bhav Pahud', '13-18', 'Guj', None, None]
ap110_ashtpahud_1970_71.mp3 - ['082', '05 Bhav Pahud', '19-27', 'Guj', None, None]
ap111_ashtpahud_1970_71.mp3 - ['083', '05 Bhav Pahud', '25-31', 'Guj', None, None]
ap112_ashtpahud_1970_71.mp3 - ['084', '05 Bhav Pahud', '32-34', 'Guj', None, None]
ap113_ashtpahud_1970_71.mp3 - ['085', '05 Bhav Pahud', '37-44', 'Guj', None, None]
ap114_ashtpahud_1970_71.mp3 - ['086', '05 Bhav Pahud', '45-51', 'Hin', None, None]
ap115_ashtpahud_1970_71.mp3 - ['087', '05 Bhav Pahud', '52-55', 'Guj', None, None]
ap116_ashtpahud_1970_71.mp3 - ['088', '05 Bhav Pahud', '56-58', 'Guj', None, None]
ap117_ashtpahud_1970_71.mp3 - ['089', '05 Bhav Pahud', '58-59', 'Hin', None, None]
