द्रव्य,dravya
अनुभागबन्ध,anubhagbandh
प्रदेशबन्ध,pradeshbandh
उदय,udaya
उदीर्णा,udirna
उपशम,upsham
अन्तःकरणरूप,antahkaranarup
सदवस्थारूप,sadavastharoop
क्षय,kshay
क्षयोपशम,kshayopasham
निषेक,nishek
स्पर्द्धक,sparddhak
वर्गणा,vargana
वर्ग,varg
अविभाग,avibhag
प्रतिच्छेद,praticched
उदयाभावी,udayabhavi
उत्कर्षण,utkarshan
अपकर्षण,apakarshan
संक्रमण,sankraman
समयप्रबद्ध,samayaprabaddh
गुणहानि,gunhani
आयाम,ayam
नानागुणहानि,nanagunhani
अन्योन्याभ्यस्तराशि,anyonyabhyastarashi
अन्तिम,antim
गुणहानियों,gunhaniyon
निषेकहार,nishekhar
चय,chay
अनुभाग,anubhag
आस्रव,asrav
कारण,karan
समर्थकारण,samarthakaran
असमर्थकारण,asamarthakaran
सहकारी,sahakari
सामग्री,samagri
निमित्तकारण,nimittakaran
उपादानकारण,upadanakaran
द्रव्यबन्ध,dravyabandh
भावबन्ध,bhavabandh
भावास्रव,bhavasrav
द्रव्यास्रव,dravyasrav
प्रकृतियों,prakritiyon
बन्धका,bandhaka
कारणत्व,karnatv
एकान्तमिथ्यात्व,ekantamithyatva
विपरीतमिथ्यात्व,viparitamithyatv
संशयमिथ्यात्व,sanshayamithyatv
अज्ञानमिथ्यात्व,ajnanamithyatva
विनयमिथ्यात्व,vinayamithyatv
अविरति,avirati
प्रमाद,pramad
अप्रत्यख्यानावरण,apratyakhyanavaran
प्रत्यख्यानावरण,pratyakhyanavaran
प्,pa
निमित्त,nimitt
कर्मप्रकृतियां,karmaprakritiyan
द्रव्यास्त्रव,dravyastrav
साम्परायिक,samparayik
ईर्यापथ,iryapath
आस्रवों,asravon
पुण्यास्त्रव,punyastrav
पापास्त्रव,papastrav
शुभयोग,shubhayog
अशुभयोग,ashubhayog
पापप्रकृतियों,papaprakritiyon
पापास्रव,papasrav
असाधारण,asadharan
औपशमिकभाव,aupashmikbhav
क्षायिकभाव,kshayikbhav
क्षायोपशमिकभाव,kshayopashamikabhav
औदयिकभाव,audyikbhav
पारिणामिकभाव,parinamikbhav
लेश्या,leshya
उपयोग,upayog
दर्शनोपयोग,darshanopayog
ज्ञानोपयोग,gyanopayoga
संज्ञा,sangya
मार्गणा,margana
इन्द्रिय,indriy
द्रव्येन्द्रिय,dravyendriy
निवृति,nivriti
बाह्यनिवृति,bahyanivriti
आभ्यन्तरनिवृति,abhyantaranivriti
उपकरण,upakaran
बाह्योपकरण,bahyopakaran
लब्धि,labdhi
स्पर्शनेन्द्रिय,sparshanendria
रसनेन्द्रिय,rasanendriya
घ्राणेन्द्रिय,ghranendriy
चक्षुरिन्द्रिय,chakshurindriy
श्रोतेन्द्रिय,shrotendriy
इन्द्रियां,indriyan
काय,kay
बादर,badar
सूक्ष्म,sookshm
वनस्पति,vanaspati
प्रत्येक वनस्पति,pratyek vanaspati
साधारण वनस्पति,sadharan vanaspati
सप्रतिष्ठित,sapratishthit
अप्रतिष्ठित,apratishthit
निगोद,nigod
नित्यनिगोद,nitynigod
इतरनिगोद,itranigod
वेद,veda
ज्ञानमार्गणा,gyanamargana
संयम,sanyam
संयममार्गणा,sanyammargana
दर्शनमार्गणा,darshanmargana
लेश्यामार्गणा,leshyamargana
भव्यत्वमार्गणा,bhavyatvamargana
सम्यक्त्व,samyaktv
